# FILE_NAME
# REACTION
# BEAM_MASS TARGET_MASS THRESHOLD FINAL_STATE_MULTIPLICITY
# NUMBER_OF_DATA_POINTS
# POINT_NUMBER PLAB(GEV/C) PLAB_MIN PLAB_MAX ALPHA   STA_ERR+ STA_ERR- SY_ER+(PCT) SY_ER-(PCT) REFERENCE FLAG
#  FORMAT(I5,1X,4F11.5,2F8.4,1X,2F6.1,A)
# -------------------------------------------------------------------------------------------------------
# PBARP_ELASTIC.REIM
# PBAR P --> P PBAR
# 0.938270    0.938270      0.            2
#  91
 40   0.54060    0.54060    0.54060    9.0000E-02 0.12000 0.12000    0.0  0.0  IWASAKI 85B      NP A433, 580
 41   0.54600    0.54600    0.54600    -4.400E-02 4.2E-02 4.2E-02    68.  68.  ASHFORD 85B      PRL 54, 518
 42   0.55000    0.55000    0.55000    8.4000E-02 4.9E-02 4.9E-02    18.  18.  SCHIAVON 89      NP A505, 595
 43   0.55340    0.55340    0.55340    -0.12000   0.19000 0.19000    0.0  0.0  IWASAKI 85B      NP A433, 580
 44   0.55690    0.55690    0.55690    0.10000    8.0E-02 8.0E-02    0.0  0.0  CRESTI 83        PL 132B, 209
 45   0.56550    0.56550    0.56550    0.19000    0.10000 0.10000    0.0  0.0  IWASAKI 85B      NP A433, 580
 46   0.57810    0.57810    0.57810    0.12000    0.11000 0.11000    0.0  0.0  IWASAKI 85B      NP A433, 580
 47   0.57830    0.57830    0.57830    4.0000E-02 7.0E-02 7.0E-02    0.0  0.0  CRESTI 83        PL 132B, 209
 48   0.59000    0.59000    0.59000    0.20300    0.11000 0.11000    0.0  0.0  BRUCKNER 85B     PL 158B, 180
 49   0.59000    0.59000    0.59000    0.20300    0.11000 0.11000    0.0  0.0  BRUCKNER 91B     ZP A339, 367
 50   0.59120    0.59120    0.59120    0.         0.18000 0.18000    0.0  0.0  IWASAKI 85B      NP A433, 580
 51   0.59700    0.59700    0.59700    -1.000E-03 4.7E-02 4.7E-02              ASHFORD 85B      PRL 54, 518
 52   0.60400    0.60400    0.60400    0.21000    0.10000 0.10000    0.0  0.0  IWASAKI 85B      NP A433, 580
 53   0.61700    0.61700    0.61700    0.39000    8.0E-02 8.0E-02    0.0  0.0  IWASAKI 85B      NP A433, 580
 54   0.62500    0.62500    0.62500    -6.100E-02 7.4E-02 7.4E-02    49.  49.  ASHFORD 85B      PRL 54, 518
 55   0.63090    0.63090    0.63090    0.25000    0.14000 0.14000    0.0  0.0  IWASAKI 85B      NP A433, 580
 56   0.64470    0.64470    0.64470    0.43000    0.11000 0.11000    0.0  0.0  IWASAKI 85B      NP A433, 580
 57   0.65200    0.65200    0.65200    8.7000E-02 4.0E-02 4.0E-02    34.  34.  ASHFORD 85B      PRL 54, 518
 58   0.65860    0.65860    0.65860    0.16000    0.23000 0.23000    0.0  0.0  IWASAKI 85B      NP A433, 580
 59   0.67150    0.67150    0.67150    0.30000    0.14000 0.14000    0.0  0.0  IWASAKI 85B      NP A433, 580
 60   0.68610    0.68610    0.68610    0.29000    0.14000 0.14000    0.0  0.0  IWASAKI 85B      NP A433, 580
 61   0.70000    0.70000    0.70000    0.33000    4.0E-02 4.0E-02    0.0  0.0  KASENO 76        PL 61B, 203
 62   0.70110    0.70110    0.70110    0.12000    0.30000 0.30000    0.0  0.0  IWASAKI 85B      NP A433, 580
 63   0.71530    0.71530    0.71530    0.17000    0.26000 0.26000    0.0  0.0  IWASAKI 85B      NP A433, 580
 64   0.75700    0.75700    0.75700    0.10200    3.5E-02 3.5E-02    25.  25.  SCHIAVON 89      NP A505, 595
 65   1.07700    1.07700    1.07700    5.9000E-02 2.4E-02 2.4E-02    42.  42.  SCHIAVON 89      NP A505, 595
 66   1.17400    1.17400    1.17400    0.32000    5.0E-02 5.0E-02    0.0  0.0  JENNI 75         NP B94, 1
 67   1.17400    1.17400    1.17400    0.22000    4.0E-02 4.0E-02    0.0  0.0  JENNI 75         NP B94, 1
 68   1.41200    1.41200    1.41200    0.29000    5.0E-02 5.0E-02    0.0  0.0  JENNI 75         NP B94, 1
 69   1.41200    1.41200    1.41200    0.24000    4.0E-02 4.0E-02    0.0  0.0  JENNI 75         NP B94, 1
 70   1.77600    1.77600    1.77600    0.14000    4.0E-02 4.0E-02    0.0  0.0  JENNI 75         NP B94, 1
 71   1.77600    1.77600    1.77600    0.17000    4.0E-02 4.0E-02    0.0  0.0  JENNI 75         NP B94, 1
 72   2.60700    2.60700    2.60700    4.0000E-02 6.0E-02 6.0E-02    0.0  0.0  JENNI 75         NP B94, 1
 73   2.60700    2.60700    2.60700    5.0000E-02 6.0E-02 6.0E-02    0.0  0.0  JENNI 75         NP B94, 1
 74   4.20000    4.20000    4.20000    5.0000E-02 4.0E-02 4.0E-02    20.  20.  JENNI 77         NP B129, 232
 75   5.70000    5.70000    5.70000    0.15000    8.0E-02 8.0E-02    0.0  0.0  BRAUN 75         NP B95, 481
 76   6.00000    6.00000    6.00000    4.0000E-02 6.0E-02 6.0E-02    25.  25.  JENNI 77         NP B129, 232
 77   8.00000    8.00000    8.00000    -0.14000   7.0E-02 7.0E-02    7.1  7.1  JENNI 77         NP B129, 232
 78   10.00000   10.00000   10.00000   -0.10000   5.0E-02 5.0E-02    10.0 10.0 JENNI 77         NP B129, 232
 79   11.90000   11.90000   11.90000   -6.000E-03 3.4E-02 3.4E-02              FOLEY 67B        PRL 19, 857
 80   70.00000   70.00000   70.00000   1.0000E-02 1.7E-02 1.7E-02    60.  60.  FAJARDO 80       PR D24, 46
 81   125.00000  125.00000  125.00000  1.2000E-02 1.9E-02 1.9E-02    50.  50.  FAJARDO 80       PR D24, 46
 82   150.00000  150.00000  150.00000  -1.000E-03 2.7E-02 2.7E-02    500. 500. FAJARDO 80       PR D24, 46
 83   175.00000  175.00000  175.00000  6.7000E-02 3.8E-02 3.8E-02    10.  10.  FAJARDO 80       PR D24, 46
 84   200.00000  200.00000  200.00000  2.9000E-02 2.8E-02 2.8E-02    38.  38.  FAJARDO 80       PR D24, 46
 85   272.00000  272.00000  272.00000  -1.400E-02 2.7E-02 2.7E-02    357. 357. LINSSEN 87       NP A469, 726
 86   313.72985  313.72985  313.72985  4.8000E-02 1.1E-02 7.0E-02    13.  13.  BREEDON 89       PL 216B, 459
 87   491.54168  491.54168  491.54168  5.5000E-02 2.9E-02 2.9E-02    0.0  0.0  AMOS 85          NP B262, 689
 88   1473.45581 1473.45581 1473.45581 0.10600    1.6E-02 1.6E-02    2.8  2.8  AMOS 85          NP B262, 689
 89   1.5597E+05 1.5597E+05 1.5597E+05 0.13500    7.0E-03 7.0E-03    9.8  9.8  AUGIER 93        PL 316B, 448
 90   1.7266E+06 1.7266E+06 1.7266E+06 0.13200    4.9E-02 4.9E-02    21.  21.  AVILA 02         PL 537B, 41        W
 91   1.7266E+06 1.7266E+06 1.7266E+06 0.14000    6.9E-02 6.9E-02    0.0  0.0  AMOS 91B         PRL 68, 2433
